Date,Consumer Discretionary,Consumer Staples,Health Care
1998-07-27,223.02999877929688,232.00999450683594,326.4599914550781
1998-08-03,218.60000610351562,227.50999450683594,314.94000244140625
1998-08-10,212.74000549316406,222.17999267578125,312.75
1998-08-17,215.3699951171875,224.75999450683594,324.07000732421875
1998-08-24,205.47999572753906,218.14999389648438,317.2799987792969
1998-08-31,190.61000061035156,206.2100067138672,304.0
1998-09-07,194.61000061035156,206.24000549316406,315.1099853515625
1998-09-14,197.32000732421875,206.19000244140625,319.7300109863281
1998-09-21,195.9600067138672,206.99000549316406,327.7900085449219
1998-09-28,182.25,210.42999267578125,312.55999755859375
1998-10-05,180.38999938964844,217.92999267578125,303.5400085449219
1998-10-12,199.02999877929688,229.27000427246094,322.1600036621094
1998-10-19,204.1999969482422,234.0399932861328,326.8900146484375
1998-10-26,208.38999938964844,235.42999267578125,334.5
1998-11-02,217.5,244.55999755859375,344.94000244140625
1998-11-09,215.77000427246094,244.33999633789062,338.42999267578125
1998-11-16,222.0399932861328,249.50999450683594,356.5199890136719
1998-11-23,227.6199951171875,249.4600067138672,362.2099914550781
1998-11-30,223.52000427246094,246.61000061035156,360.3699951171875
1998-12-07,225.22999572753906,236.36000061035156,356.3800048828125
1998-12-14,228.85000610351562,239.41000366210938,350.0899963378906
1998-12-21,238.6300048828125,252.36000061035156,358.8399963378906
1998-12-28,241.27000427246094,249.39999389648438,369.8399963378906
1999-01-04,249.80999755859375,248.8699951171875,365.0899963378906
1999-01-11,245.97999572753906,241.72999572753906,353.44000244140625
1999-01-18,246.02999877929688,232.52000427246094,344.05999755859375
1999-01-25,254.82000732421875,243.69000244140625,368.2699890136719
1999-02-01,251.22000122070312,234.97999572753906,365.1199951171875
1999-02-08,249.0800018310547,232.7100067138672,364.69000244140625
1999-02-15,253.94000244140625,236.05999755859375,365.45001220703125
1999-02-22,255.19000244140625,233.32000732421875,371.2699890136719
1999-03-01,267.19000244140625,238.19000244140625,382.2099914550781
1999-03-08,270.0899963378906,240.4600067138672,387.8900146484375
1999-03-15,269.44000244140625,240.1300048828125,385.739990234375
1999-03-22,266.260009765625,237.08999633789062,375.8299865722656
1999-03-29,267.1499938964844,227.52000427246094,381.1400146484375
1999-04-05,283.1000061035156,227.0,395.42999267578125
1999-04-12,274.1400146484375,227.39999389648438,367.0
1999-04-19,284.17999267578125,228.52999877929688,377.9200134277344
1999-04-26,273.2900085449219,230.67999267578125,354.260009765625
1999-05-03,273.32000732421875,232.1999969482422,360.489990234375
1999-05-10,272.3999938964844,232.0,355.7099914550781
1999-05-17,267.760009765625,236.44000244140625,352.9800109863281
1999-05-24,261.3999938964844,231.1199951171875,343.7300109863281
1999-05-31,269.510009765625,236.49000549316406,356.55999755859375
1999-06-07,258.739990234375,228.35000610351562,334.3599853515625
1999-06-14,266.8800048828125,228.86000061035156,338.45001220703125
1999-06-21,263.010009765625,223.94000244140625,336.2900085449219
1999-06-28,279.17999267578125,228.5800018310547,365.42999267578125
1999-07-05,279.8900146484375,229.3300018310547,360.5400085449219
1999-07-12,280.7300109863281,233.22999572753906,365.19000244140625
1999-07-19,267.55999755859375,227.4499969482422,348.6099853515625
1999-07-26,260.67999267578125,226.05999755859375,339.17999267578125
1999-08-02,248.64999389648438,222.33999633789062,325.04998779296875
1999-08-09,256.739990234375,221.9600067138672,333.92999267578125
1999-08-16,261.489990234375,221.52999877929688,347.57000732421875
1999-08-23,259.510009765625,225.5,353.3599853515625
1999-08-30,257.2699890136719,223.8000030517578,360.5799865722656
1999-09-06,258.5199890136719,218.02999877929688,352.3500061035156
1999-09-13,256.9700012207031,215.67999267578125,343.6400146484375
1999-09-20,246.92999267578125,206.63999938964844,324.69000244140625
1999-09-27,254.0500030517578,199.1300048828125,332.2200012207031
1999-10-04,268.1000061035156,209.3000030517578,353.75
1999-10-11,248.7899932861328,197.5399932861328,326.1099853515625
1999-10-18,260.8399963378906,206.82000732421875,354.17999267578125
1999-10-25,270.489990234375,212.9600067138672,356.8699951171875
1999-11-01,269.7300109863281,209.57000732421875,364.4100036621094
1999-11-08,275.4800109863281,208.7899932861328,363.2799987792969
1999-11-15,275.6099853515625,213.64999389648438,363.9700012207031
1999-11-22,273.0400085449219,219.1199951171875,363.2699890136719
1999-11-29,279.5899963378906,220.85000610351562,353.8900146484375
1999-12-06,283.739990234375,211.1300048828125,332.80999755859375
1999-12-13,287.6700134277344,202.85000610351562,321.17999267578125
1999-12-20,292.4700012207031,207.41000366210938,333.1300048828125
1999-12-27,299.30999755859375,208.0500030517578,326.7799987792969
2000-01-03,290.489990234375,212.8800048828125,354.94000244140625
2000-01-10,296.8999938964844,211.10000610351562,352.79998779296875
2000-01-17,291.510009765625,203.8699951171875,341.7200012207031
2000-01-24,273.0400085449219,191.97999572753906,336.44000244140625
2000-01-31,285.4599914550781,189.0,345.5199890136719
2000-02-07,276.8699951171875,184.50999450683594,324.2799987792969
2000-02-14,253.02999877929688,180.0800018310547,319.4800109863281
2000-02-21,246.0500030517578,171.24000549316406,308.8900146484375
2000-02-28,261.30999755859375,173.1999969482422,307.4800109863281
2000-03-06,251.8800048828125,151.14999389648438,312.17999267578125
2000-03-13,277.3299865722656,167.74000549316406,326.2900085449219
2000-03-20,285.3900146484375,166.50999450683594,320.19000244140625
2000-03-27,287.6300048828125,171.5500030517578,326.260009765625
2000-04-03,295.2699890136719,176.97999572753906,338.9700012207031
2000-04-10,270.0299987792969,175.7100067138672,334.5799865722656
2000-04-17,282.69000244140625,181.7100067138672,351.82000732421875
